energy,fwhm,fwhmerr,linetype
583.187,2.281209948150525,0.0015708601691975348,ok
727.33,2.317984313949871,0.0033790933324533198,ok
785.37,2.383716724526341,0.009450654356680304,ok
860.53,2.401521657041881,0.004133441954371728,ok
893.41,2.395233752328743,0.022582103457824267,ok
1078.63,2.4827521376163526,0.016027282628220486,ok
1512.7,2.6988320153543106,0.026629678143128676,ok
1592.513,2.925942100842162,0.005891876651464734,doppler
1620.738,2.724443796200053,0.008515388835115302,ok
2103.512,3.8426643131897587,0.007259422847164586,doppler
2614.511,3.1640748067579674,0.0021340189267538647,ok
