energy, EnrAll
0, 0
30, 0.128852
60, 0.232006
90, 0.280944
120, 0.335857
150, 0.561357
180, 0.774053
210, 0.892064
240, 1.00118
270, 1.10346
300, 1.21285
330, 1.31381
360, 1.40437
390, 1.49126
420, 1.57494
450, 1.65087
480, 1.71454
510, 1.76604
540, 1.81823
570, 1.84889
600, 1.87708
630, 1.88735
660, 1.89789
690, 1.88788
720, 1.87164
750, 1.84331
780, 1.80639
810, 1.76088
840, 1.71153
870, 1.65074
900, 1.58151
930, 1.50538
960, 1.42949
990, 1.34272
1020, 1.26245
1050, 1.17346
1080, 1.08806
1110, 1.00254
1140, 0.913712
1170, 0.826387
1200, 0.742841
1230, 0.663911
1260, 0.587826
1290, 0.514843
1320, 0.447094
1350, 0.385484
1380, 0.327935
1410, 0.27526
1440, 0.229055
1470, 0.186327
1500, 0.150305
1530, 0.118757
1560, 0.0922153
1590, 0.0702801
1620, 0.0515776
1650, 0.0374938
1680, 0.0259794
1710, 0.017425
1740, 0.0111437
1770, 0.00675254
1800, 0.00386834
1830, 0.00209464
1860, 0.000886436
1890, 0.000328392
1920, 9.66467e-05
1950, 3.48894e-05
1980, 0
2010, 0
2040, 0
2070, 0
2100, 0
2130, 0
2160, 0
2190, 0
2220, 0
2250, 0
2280, 0
2310, 0
2340, 0
2370, 0
2400, 0
2430, 0
2460, 0
2490, 0
2520, 0
2550, 0
2580, 0
2610, 0
2640, 0
2670, 0
2700, 0
2730, 0
2760, 0
2790, 0
2820, 0
2850, 0
2880, 0
2910, 0
2940, 0
2970, 0
3000, 0
3030, 0
3060, 0
3090, 0
3120, 0
3150, 0
3180, 0
3210, 0
3240, 0
3270, 0
3300, 0
3330, 0
3360, 0
3390, 0
3420, 0
3450, 0
3480, 0
3510, 0
3540, 0
3570, 0
3600, 0
3630, 0
3660, 0
3690, 0
3720, 0
3750, 0
3780, 0
3810, 0
3840, 0
3870, 0
3900, 0
3930, 0
