par, 0_30_40, 0_30_40_err, 0_30_0, 0_30_0_err, 0_30_-30, 0_30_-30_err, 0_20_0, 0_20_0_err, 0_20_-30, 0_20_-30_err, 0_0_20, 0_0_20_err, 0_0_-27, 0_0_-27_err, 0_0_-40, 0_0_-40_err, 0_0_-70, 0_0_-70_err, 0_0_-95, 0_0_-95_err, 11_0_-24, 11_0_-24_err, 7_0_-5, 7_0_-5_err, -7_0_6, -7_0_6_err
5, 0.677111, 0.0234736, 0.626474, 0.0219705, 0.638892, 0.0208374, 1, 0.0183282, 0.742553, 0.0125943, 0.834565, 0.0235471, 0.994645, 0.0132878, 0.23587, 0.00586338, 0.194499, 0.0039028, 0.728623, 0.00481833, 1.36616, 0.036049, 1.7883, 0.0743812, 2.0381, 0.0629237
10, 0.800838, 0.0192579, 0.720549, 0.017775, 0.748505, 0.0170142, 1, 0.0138254, 0.784173, 0.00976246, 0.973403, 0.0191837, 0.966896, 0.00988165, 0.443295, 0.00606295, 0.397935, 0.00421008, 0.841709, 0.00390231, 1.29299, 0.0264561, 1.51786, 0.0516964, 1.54476, 0.0413268
15, 0.855753, 0.0176283, 0.81198, 0.0167088, 0.779902, 0.0153792, 1, 0.0122421, 0.850411, 0.00900172, 1.01808, 0.0173728, 0.947295, 0.00866047, 0.590963, 0.00619795, 0.547867, 0.00437307, 0.902228, 0.00357469, 1.20758, 0.0226406, 1.37948, 0.0436425, 1.39782, 0.0348124
20, 0.904944, 0.0169517, 0.852927, 0.0160139, 0.83508, 0.0148814, 1, 0.0114476, 0.881787, 0.00857107, 1.01167, 0.0161945, 0.950617, 0.00811225, 0.696757, 0.00629242, 0.66985, 0.00452043, 0.946056, 0.00342091, 1.1559, 0.0207139, 1.2957, 0.0395532, 1.28608, 0.0312262
25, 0.939674, 0.0164879, 0.889174, 0.0156066, 0.874919, 0.014539, 1, 0.0109265, 0.91312, 0.0083247, 0.990728, 0.0152968, 0.966216, 0.00780592, 0.768403, 0.00630665, 0.759101, 0.00459206, 0.975856, 0.00331466, 1.15531, 0.0197664, 1.16071, 0.0357334, 1.1752, 0.0284921
35, 0.950888, 0.0154367, 0.922651, 0.014796, 0.919128, 0.0138691, 1, 0.010169, 0.945034, 0.00788141, 0.974904, 0.0141227, 0.963114, 0.00725274, 0.859996, 0.00620847, 0.866211, 0.0045636, 0.982512, 0.00326073, 1.04213, 0.0174728, 1.056, 0.0317226, 1.08926, 0.0255303
45, 0.965096, 0.0149171, 0.960312, 0.014479, 0.946627, 0.0135006, 1, 0.00975388, 0.963033, 0.00763103, 0.982882, 0.0136017, 0.977224, 0.00700708, 0.931551, 0.006197, 0.940708, 0.00456035, 0.989018, 0.00313659, 1.00011, 0.0164187, 1.06194, 0.0305141, 1.01158, 0.0235998
55, 1, 0.0148642, 1, 0.0144635, 1, 0.0135832, 1, 0.00954808, 1, 0.00761172, 1, 0.0134303, 1, 0.00693841, 1, 0.00628447, 1, 0.00460171, 1, 0.00292815, 1, 0.0160717, 1, 0.0289868, 1, 0.0229696
75, 1.04608, 0.0146991, 1.03449, 0.0142235, 1.04915, 0.0134521, 1, 0.0092317, 1.03289, 0.00747915, 0.997324, 0.0129681, 1.01206, 0.00674853, 1.07589, 0.00630162, 1.09866, 0.00466178, 1.01468, 0.00285052, 0.970891, 0.0153117, 0.977321, 0.0277077, 0.949698, 0.0216435
