bin_low_edge, bin_center, lar_M1_enrAll
40.5, 40.75, 10348
41, 42, 4752.5
43, 43.5, 4445
44, 45.5, 4117
47, 48.5, 3749.33
50, 53.5, 3567.57
57, 61, 3784.75
65, 68.5, 4063.57
72, 84, 4324.17
96, 101, 4175.3
106, 110.5, 3904.67
115, 118.5, 3659.29
122, 124.5, 3363.8
127, 130.5, 3173.86
134, 136, 2979.5
138, 141, 2784
144, 149, 2617.3
154, 156, 2891.75
158, 161.5, 3220.43
165, 169.5, 3090.89
174, 180.5, 2990
187, 191.5, 2897.78
196, 199.5, 2699.43
203, 208, 2499.6
213, 218, 2290.6
223, 227, 2120.5
231, 234, 1978
237, 238.5, 2116
240, 241, 1918.5
242, 246.5, 1772.67
251, 256, 1632.3
261, 265.5, 1515.56
270, 276, 1407.33
282, 288, 1252.83
294, 295.5, 1342.33
297, 299.5, 1180.2
302, 307.5, 1089.45
313, 317, 1010.25
321, 325, 941.875
329, 335.5, 876.231
342, 346.5, 821.333
351, 352, 994.5
353, 356, 746
359, 365, 696.5
371, 377, 632.5
383, 390, 573.571
397, 401, 512.875
405, 414, 465.833
423, 431.5, 405.235
440, 450, 360.65
460, 470.5, 323
481, 496.5, 271.774
512, 514, 343
516, 558, 248.714
600, 630.5, 259.344
661, 662, 322.5
663, 727, 254.5
791, 825.5, 238.145
860, 890, 224.7
920, 947, 204.889
974, 991, 190.235
1008, 1041.5, 168.313
1075, 1103, 151.589
1131, 1169, 124.474
1207, 1223.5, 107.303
1240, 1273, 88.8333
1306, 1328, 75.5
1350, 1368.5, 63
1387, 1404.5, 50.1429
1422, 1439, 43.1471
1456, 1456.5, 73
1457, 1457.5, 128
1458, 1458.5, 337
1459, 1459.5, 875
1460, 1461, 1698
1462, 1462.5, 865
1463, 1463.5, 275
1464, 1464.5, 92
1465, 1478, 31.0769
1491, 1506, 25.0333
1521, 1521.5, 72
1522, 1522.5, 154
1523, 1523.5, 340
1524, 1525, 546.5
1526, 1526.5, 292
1527, 1527.5, 92
1528, 1529, 39.5
1530, 1560, 15.9833
1590, 1614, 10.2917
1638, 1660.5, 6.77778
1683, 1709, 4.26923
1735, 1749, 2.53571
1763, 1765.5, 16
1768, 1817.5, 1.41414
1867, 1996.5, 0.791506
2126, 2164, 0.381579
2202, 2204.5, 5
2207, 2896.5, 0.420595
3586, 3866.25, 0.583408
4146.5, 4343.25, 0.884371
4540, 4635, 1.43684
4730, 4816.75, 2.11527
4903.5, 4948.75, 3.28177
4994, 5020, 5.07692
5046, 5080, 7.33824
5114, 5155.5, 10.747
5197, 5209, 5.70833
5221, 5230.5, 2.84211
5240, 5255.25, 0.491803
5270.5, 5629.5, 0.0445682
5988.5, 6819.5, 0
7650.5, 7684.78, 0.000601685
