energy, data, model, 1sig_l, 1sig_u, 2sig_l, 2sig_u, 3sig_l, 3sig_u
40, 1811, 1652.44, 1611.5, 1693.5, 1570.5, 1734.5, 1531.5, 1773.5
44, 1789, 1700.29, 1658.5, 1741.5, 1617.5, 1783.5, 1577.5, 1823.5
48, 1840, 1768.86, 1726.5, 1811.5, 1684.5, 1853.5, 1643.5, 1894.5
52, 1945, 1929.11, 1884.5, 1973.5, 1840.5, 2017.5, 1798.5, 2059.5
56, 2254, 2094.23, 2048.5, 2140.5, 2002.5, 2186.5, 1957.5, 2230.5
60, 2468, 2309.16, 2260.5, 2357.5, 2212.5, 2405.5, 2166.5, 2452.5
64, 2623, 2517.66, 2467.5, 2568.5, 2417.5, 2618.5, 2368.5, 2667.5
68, 2640, 2684.71, 2632.5, 2736.5, 2580.5, 2788.5, 2530.5, 2838.5
72, 2885, 2867.61, 2813.5, 2921.5, 2760.5, 2974.5, 2708.5, 3027.5
76, 2948, 2917.35, 2862.5, 2971.5, 2809.5, 3025.5, 2756.5, 3078.5
80, 3039, 3020.3, 2964.5, 3075.5, 2910.5, 3130.5, 2856.5, 3183.5
84, 3096, 2967.71, 2912.5, 3022.5, 2858.5, 3076.5, 2805.5, 3129.5
88, 3106, 3000.85, 2945.5, 3056.5, 2891.5, 3110.5, 2837.5, 3163.5
92, 2918, 2960.89, 2906.5, 3015.5, 2851.5, 3069.5, 2798.5, 3122.5
96, 2727, 2867.58, 2813.5, 2921.5, 2760.5, 2974.5, 2708.5, 3027.5
100, 2776, 2745.37, 2692.5, 2798.5, 2640.5, 2850.5, 2589.5, 2901.5
104, 2674, 2649.86, 2597.5, 2701.5, 2546.5, 2753.5, 2496.5, 2803.5
108, 2529, 2519.15, 2468.5, 2569.5, 2418.5, 2619.5, 2369.5, 2668.5
112, 2389, 2358.38, 2309.5, 2407.5, 2260.5, 2455.5, 2213.5, 2503.5
116, 2346, 2254.31, 2206.5, 2302.5, 2159.5, 2349.5, 2112.5, 2395.5
120, 2149, 2120.7, 2074.5, 2167.5, 2028.5, 2213.5, 1983.5, 2257.5
124, 2015, 2004.78, 1959.5, 2049.5, 1914.5, 2094.5, 1871.5, 2138.5
128, 1873, 1883.68, 1839.5, 1927.5, 1796.5, 1970.5, 1754.5, 2012.5
132, 1708, 1765.4, 1722.5, 1807.5, 1681.5, 1849.5, 1640.5, 1890.5
136, 1673, 1634.37, 1593.5, 1675.5, 1553.5, 1715.5, 1513.5, 1754.5
140, 1622, 1518.78, 1479.5, 1558.5, 1440.5, 1597.5, 1402.5, 1634.5
144, 1429, 1424.15, 1385.5, 1462.5, 1348.5, 1499.5, 1311.5, 1536.5
148, 1325, 1356.5, 1319.5, 1393.5, 1282.5, 1430.5, 1246.5, 1466.5
152, 1249, 1216.86, 1181.5, 1252.5, 1146.5, 1286.5, 1112.5, 1320.5
156, 1157, 1140.97, 1106.5, 1175.5, 1073.5, 1208.5, 1040.5, 1241.5
160, 1054, 1068.7, 1035.5, 1101.5, 1002.5, 1134.5, 971.5, 1166.5
164, 1049, 983.911, 952.5, 1015.5, 920.5, 1047.5, 890.5, 1077.5
168, 997, 914.447, 883.5, 945.5, 853.5, 975.5, 824.5, 1004.5
172, 912, 845.878, 816.5, 875.5, 787.5, 904.5, 759.5, 932.5
176, 807, 791.234, 762.5, 819.5, 734.5, 847.5, 707.5, 875.5
180, 761, 738.853, 711.5, 766.5, 684.5, 793.5, 657.5, 820.5
184, 686, 698.583, 671.5, 725.5, 645.5, 751.5, 619.5, 777.5
188, 694, 625.118, 599.5, 650.5, 574.5, 675.5, 550.5, 699.5
192, 636, 592.504, 567.5, 617.5, 543.5, 641.5, 519.5, 665.5
196, 583, 579.516, 554.5, 604.5, 530.5, 628.5, 507.5, 651.5
200, 511, 522.973, 499.5, 546.5, 476.5, 569.5, 454.5, 591.5
204, 531, 484.14, 461.5, 506.5, 439.5, 528.5, 418.5, 549.5
208, 476, 456.871, 435.5, 478.5, 413.5, 500.5, 392.5, 520.5
212, 438, 449.083, 427.5, 470.5, 406.5, 491.5, 385.5, 512.5
216, 398, 396.167, 375.5, 416.5, 355.5, 436.5, 336.5, 455.5
220, 390, 376.933, 357.5, 396.5, 337.5, 416.5, 318.5, 435.5
224, 374, 354.044, 334.5, 373.5, 315.5, 392.5, 297.5, 410.5
228, 327, 342.256, 323.5, 361.5, 304.5, 379.5, 286.5, 397.5
232, 402, 312.752, 294.5, 330.5, 276.5, 348.5, 259.5, 365.5
236, 305, 295.1, 277.5, 312.5, 260.5, 329.5, 243.5, 346.5
240, 292, 274.037, 257.5, 291.5, 240.5, 307.5, 224.5, 323.5
244, 277, 257.22, 240.5, 273.5, 224.5, 289.5, 209.5, 305.5
248, 246, 246.249, 230.5, 262.5, 214.5, 278.5, 199.5, 293.5
